nombre,partido,PARTIDO_PARA_FILTRO,GENERO,CARGO_PARA_FILTRO,CARGO,INSTITUCION,CCAA,SUELDOBASE_SUELDO,COMPLEMENTOS_SUELDO,PAGASEXTRA_SUELDO,OTRASDIETASEINDEMNIZACIONES_SUELDO,TRIENIOS_SUELDO,RETRIBUCIONMENSUAL,salarioAnual,OBSERVACIONES
Luís Vicente Castelló Vicedo,AIA-Compromis,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Agost,Comunidad Valenciana,37260,,,0,,2661.43,37260,Dedicación Exclusiva
Josep Manel Francés i Reig,Junts per Agres,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Agres,Comunidad Valenciana,8467.36,,,0,,604.81,8467.36,Dedicación Parcial
María Isabel Molina Vicens,Compromís,Compromís,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Alcalalí,Comunidad Valenciana,8833.26,,,0,,630.95,8833.26,Dedicación Parcial
Arturo Abad Ferrer,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Alcocer de Planes,Comunidad Valenciana,0,,,250,,17.86,250,Sin dedicación
Francisco Miguel Fenollar Iváñez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Alcoleja,Comunidad Valenciana,0,,,150,,10.71,150,Sin dedicación
Antonio Alfonso Francés Pérez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de ALCOY/ALCOI,Comunidad Valenciana,57501.59,,,0,,4107.26,57501.59,Dedicación Exclusiva
Vicente Arques Cortes,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de L' Alfàs del Pi,Comunidad Valenciana,0,,,11813,,843.79,11813,Sin dedicación
Manuel Iván Ros Rodes,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Algorfa,Comunidad Valenciana,35000,,,0,,2500,35000,Dedicación Exclusiva
Mª Carmen Jover Pérez,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de  Algueña,Comunidad Valenciana,26779.9,,,0,,1912.85,26779.9,Dedicación Exclusiva
Luis José Barcala Sierra,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  ALICANTE/ALACANT,Comunidad Valenciana,66004.62,,,0,,4714.62,66004.62,Dedicación Exclusiva
María Gomez García,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de  Almoradí,Comunidad Valenciana,37652.73,,,250,,2707.34,37902.73,Dedicación Exclusiva
José Luis Segui Andrés,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  Almudaina,Comunidad Valenciana,0,,,120,,8.57,120,Sin dedicación
Francisco Jaime Pascual Pascual,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de L'Alqueria d'Asnar,Comunidad Valenciana,0,,,400,,28.57,400,Sin dedicación
Jaume Llinares Cortés,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de  ALTEA,Comunidad Valenciana,37626.26,,,0,,2687.59,37626.26,Dedicación Exclusiva
María José Villa Garis,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de  Aspe,Comunidad Valenciana,33804.23,,,0,,2414.59,33804.23,Dedicación Parcial
Josep Vicent Vidal Torralba,IAF,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de L'Atzúbia,Comunidad Valenciana,0,,,9350.64,,667.9,9350.64,Sin dedicación
Juan Tomás Bou Pérez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Banyeres de Mariola,Comunidad Valenciana,40000.1,,,0,,2857.15,40000.1,Dedicación Exclusiva
Josep Sempere i Castelló,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Beneixama,Comunidad Valenciana,24500,,,0,,1750,24500,Dedicación Exclusiva
Vicente Ibáñez Cruz,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de BENEJÚZAR,Comunidad Valenciana,42066.4,,,0,,3004.74,42066.4,Dedicación Exclusiva
Luis Vicente Mateo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benferri,Comunidad Valenciana,4825.8,,,0,,344.7,4825.8,Dedicación Parcial
Vicente Cebolla Segui,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  Beniarbeig,Comunidad Valenciana,0,,,6150,,439.29,6150,Sin dedicación
Rafaela Llorens Cepas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Beniardá,Comunidad Valenciana,16800,,,0,,1200,16800,Dedicación Parcial
Francisco Bernardo Selles Sanchis,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  Beniarrés,Comunidad Valenciana,21210,,,0,,1515,21210,Dedicación Exclusiva
Pedro Antonio Segui Caselles,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benidoleig,Comunidad Valenciana,30667.42,,,0,,2190.53,30667.42,Dedicación Exclusiva
